scheme_id,scheme_name,short_title,level,scheme_for,ministry,state,category,tags,description,close_date,priority,search_text
mmyg,Mukhyamantri Matrushakti Yojana,MMYG,State,Individual,Not specified (state scheme),Gujarat,Social welfare & Empowerment;Health & Wellness,Maternal Health;Pregnancy;Nutrition Kit;Infant,The scheme aims to enhance maternal and child health by providing nutritional support to first-time pregnant women and mothers of young children during the crucial first 1000 days of life.,,1.0,"Mukhyamantri Matrushakti Yojana. The scheme aims to enhance maternal and child health by providing nutritional support to first-time pregnant women and mothers of young children during the crucial first 1000 days of life. Category: Social welfare & Empowerment, Health & Wellness. Tags: Maternal Health, Pregnancy, Nutrition Kit, Infant."
sehtmdu,Scheme for Establishment of Hi-Tech and Mini Dairy Units,SEHTMDU,State,Individual,Not specified (state scheme),Haryana,"Agriculture,Rural & Environment",Mini Dairy Unit;Hi-Tech;Animal Husbandry;Self-employment;Unemployed;Milch Animal;Interest Subvention;Subsidy;Financial Assistance,"Under this scheme, unemployed persons will be assisted by way of providing financial assistance in form of subsidy for establishing dairy units of 4, 10, 20 & 50 milch animals like buffaloes, indigenous cows (Hariana, Sahiwal, Belahi, Red Sindhi, Tharparkar and Gir breeds only) and crossbred cows.",,1.0,"Scheme for Establishment of Hi-Tech and Mini Dairy Units. Under this scheme, unemployed persons will be assisted by way of providing financial assistance in form of subsidy for establishing dairy units of 4, 10, 20 & 50 milch animals like buffaloes, indigenous cows (Hariana, Sahiwal, Belahi, Red Sindhi, Tharparkar and Gir breeds only) and crossbred cows. Category: Agriculture,Rural & Environment. Tags: Mini Dairy Unit, Hi-Tech, Animal Husbandry, Self-employment, Unemployed, Milch Animal, Interest Subvention, Subsidy, Financial Assistance."
srshsfdc,Sheep Rearing Scheme (HSFDC),SRSHSFDC,State,Individual,Not specified (state scheme),Haryana,"Banking,Financial Services and Insurance;Business & Entrepreneurship",Sheep Rearing;HSFDC;Loan;BPL;Scheduled Caste;Self-employment,"Under this scheme, the Corporation provides loans/benefits to individuals from Below Poverty Line (BPL) families, whose annual family income does not exceed ₹1,80,000/-, in both rural and urban areas for self-employment income generating activities such as sheep rearing.",,1.0,"Sheep Rearing Scheme (HSFDC). Under this scheme, the Corporation provides loans/benefits to individuals from Below Poverty Line (BPL) families, whose annual family income does not exceed ₹1,80,000/-, in both rural and urban areas for self-employment income generating activities such as sheep rearing. Category: Banking,Financial Services and Insurance, Business & Entrepreneurship. Tags: Sheep Rearing, HSFDC, Loan, BPL, Scheduled Caste, Self-employment."
dtc,Divisional Tripartite Competition,DTC,State,Individual,Not specified (state scheme),Gujarat,Sports & Culture,Drama;Competition;Artist;Theatre;Culture;Award,The scheme aims to promote theatrical arts and drama performances across Gujarat by organizing competitive events at divisional and state levels. Individual performers and theatre organizations receive cash prizes based on their performance rankings in state-level competitions.,,1.0,"Divisional Tripartite Competition. The scheme aims to promote theatrical arts and drama performances across Gujarat by organizing competitive events at divisional and state levels. Individual performers and theatre organizations receive cash prizes based on their performance rankings in state-level competitions. Category: Sports & Culture. Tags: Drama, Competition, Artist, Theatre, Culture, Award."
tnsfdcis,The NSFDC Internship Scheme,TNSFDCIS,Central,Individual,Ministry Of Social Justice and Empowerment,All,Education & Learning;Skills & Employment,Internship;Opportunity;Student;Skill Development,"""The NSFDC Internship Scheme 2024"" is implemented by the National Scheduled Castes Finance & Development Corporation, Ministry of Social Justice & Empowerment, Govt. of India. The internship will expose students to various programs & schemes undertaken by NSFDC, offering them hands-on experience in",,1.0,"The NSFDC Internship Scheme. ""The NSFDC Internship Scheme 2024"" is implemented by the National Scheduled Castes Finance & Development Corporation, Ministry of Social Justice & Empowerment, Govt. of India. The internship will expose students to various programs & schemes undertaken by NSFDC, offering them hands-on experience in Category: Education & Learning, Skills & Employment. Tags: Internship, Opportunity, Student, Skill Development."
sds-pbaocwwb,Skill Development Scheme (PBAOCWWB),SDS-PBAOCWWB,State,Individual,Not specified (state scheme),Puducherry,Skills & Employment,Skill;Training;Construction;Worker,"The Board is implementing this scheme by entering an MoU with M/s Labour Net Services Private Limited and M/s G&G Skill Developers Private Limited, to provide training to the Construction Workers enrolled as beneficiaries in the Board. The applications are accepted offline.",,1.0,"Skill Development Scheme (PBAOCWWB). The Board is implementing this scheme by entering an MoU with M/s Labour Net Services Private Limited and M/s G&G Skill Developers Private Limited, to provide training to the Construction Workers enrolled as beneficiaries in the Board. The applications are accepted offline. Category: Skills & Employment. Tags: Skill, Training, Construction, Worker."
mgjsmoss,Marang Gomke Jaipal Singh Munda Overseas Scholarship Scheme,MGJSMOSS,State,Individual,Not specified (state scheme),Jharkhand,Education & Learning,Student;Scholarship;Financial Assistance;Scheduled Tribes;Scheduled Castes;Minorities;Other Backward Classes,"The ""Marang Gomke Jaipal Singh Munda Overseas Scholarship Scheme"" provides financial assistance to deserving Scheduled Tribes, Scheduled Castes, Minorities, and Backward Class students for pursuing postgraduate education in top-ranked universities abroad.",,1.0,"Marang Gomke Jaipal Singh Munda Overseas Scholarship Scheme. The ""Marang Gomke Jaipal Singh Munda Overseas Scholarship Scheme"" provides financial assistance to deserving Scheduled Tribes, Scheduled Castes, Minorities, and Backward Class students for pursuing postgraduate education in top-ranked universities abroad. Category: Education & Learning. Tags: Student, Scholarship, Financial Assistance, Scheduled Tribes, Scheduled Castes, Minorities, Other Backward Classes."
kalia,Krushak Assistance For Livelihood And Income Augmentation,KALIA,State,Individual,Not specified (state scheme),Odisha,"Agriculture,Rural & Environment",KALIA;Farmers;Cultivators;Financial Assistance;Agriculture,"Through the implementation of Krushak Assistance for Livelihood and Income Augmentation - KALIA Scheme , the State Government aims to lend farmers with an all inclusive and flexible support system, ensuring accelerated agricultural prosperity.",,1.0,"Krushak Assistance For Livelihood And Income Augmentation. Through the implementation of Krushak Assistance for Livelihood and Income Augmentation - KALIA Scheme , the State Government aims to lend farmers with an all inclusive and flexible support system, ensuring accelerated agricultural prosperity. Category: Agriculture,Rural & Environment. Tags: KALIA, Farmers, Cultivators, Financial Assistance, Agriculture."
ptvsme,Prime Tourism Vehicle Scheme-Meghalaya,PTVSME,State,Individual,Not specified (state scheme),Meghalaya,Travel & Tourism;Transport & Infrastructure,Tourism;Vehicle;Tourist Guide;Training;Drivers,"The scheme boosts tourism by providing 50% financial assistance for adventure tourism vehicles, along with easy credit, operator training, and GPS and branding support.",,1.0,"Prime Tourism Vehicle Scheme-Meghalaya. The scheme boosts tourism by providing 50% financial assistance for adventure tourism vehicles, along with easy credit, operator training, and GPS and branding support. Category: Travel & Tourism, Transport & Infrastructure. Tags: Tourism, Vehicle, Tourist Guide, Training, Drivers."
pltgpa-eek,Providing Latest Technology to Group of Pottery Artisans (Energy Efficient Kiln),PLTGPA-EEK,State,Individual,Not specified (state scheme),Gujarat,Business & Entrepreneurship,Technology;Artisan;Pottery;Energy;Equipment;Kiln,"The scheme aims to provide latest technology and equipment to pottery artisans for better productivity, improved quality and reduce health risks. It provides 100% financial assistance for energy-efficient kilns to groups of registered clay artisans and potters in Gujarat state.",,1.0,"Providing Latest Technology to Group of Pottery Artisans (Energy Efficient Kiln). The scheme aims to provide latest technology and equipment to pottery artisans for better productivity, improved quality and reduce health risks. It provides 100% financial assistance for energy-efficient kilns to groups of registered clay artisans and potters in Gujarat state. Category: Business & Entrepreneurship. Tags: Technology, Artisan, Pottery, Energy, Equipment, Kiln."
igndpsm,Indira Gandhi National Disability Pension Scheme (Maharashtra),IGNDPSM,State,Individual,Not specified (state scheme),Maharashtra,Social welfare & Empowerment,Disability;Pension;PwD;Handicapped,"The ""Indira Gandhi National Disability Pension Scheme (Maharashtra)"" is implemented by the Social Justice & Special Assistance Dept., Govt. of Maharashtra. The differently-abled individuals aged 18 to 65 years with a disability of 80% and above are eligible to receive a pension of ₹600/- per month.",,1.0,"Indira Gandhi National Disability Pension Scheme (Maharashtra). The ""Indira Gandhi National Disability Pension Scheme (Maharashtra)"" is implemented by the Social Justice & Special Assistance Dept., Govt. of Maharashtra. The differently-abled individuals aged 18 to 65 years with a disability of 80% and above are eligible to receive a pension of ₹600/- per month. Category: Social welfare & Empowerment. Tags: Disability, Pension, PwD, Handicapped."
aimpwbdop,Award Of Incentive For Marriage Between Persons With Benchmark Disabilities & Other Person,AIMPWBDOP,State,Family,Not specified (state scheme),Odisha,Social welfare & Empowerment,Persons With Disability;Marriage,"This scheme was introduced in 2018 by the Department of Social Security & Empowerment of Persons with Disabilities, Government of Odisha. The scheme's goal is to help people with disabilities live normal and dignified lives and to encourage others to marry people with disabilities.",,2.0,"Award Of Incentive For Marriage Between Persons With Benchmark Disabilities & Other Person. This scheme was introduced in 2018 by the Department of Social Security & Empowerment of Persons with Disabilities, Government of Odisha. The scheme's goal is to help people with disabilities live normal and dignified lives and to encourage others to marry people with disabilities. Category: Social welfare & Empowerment. Tags: Persons With Disability, Marriage."
sndaygbocwwb,Shree Nanaji Deshmukh Awas Yojana (GBOCWWB),SNDAY(GBOCWWB),State,Family,Not specified (state scheme),Gujarat,Housing & Shelter,Awas;Building Worker;Construction Worker;Labour;Financial Assistance;House,"In urban areas, where EWS/LIG houses have been allotted by Local Self-Government Organization/Urban Development Authority & Gujarat Housing Board under Chief Minister/Prime Minister Awas Yojana, the benefit of this scheme is given once per family to construction worker registered in the board.",,2.0,"Shree Nanaji Deshmukh Awas Yojana (GBOCWWB). In urban areas, where EWS/LIG houses have been allotted by Local Self-Government Organization/Urban Development Authority & Gujarat Housing Board under Chief Minister/Prime Minister Awas Yojana, the benefit of this scheme is given once per family to construction worker registered in the board. Category: Housing & Shelter. Tags: Awas, Building Worker, Construction Worker, Labour, Financial Assistance, House."
freetablet,e-Adhigam Scheme - Free Tablet,E-ASFT,State,Individual,Not specified (state scheme),Haryana,Education & Learning,Free Tablet;Digital Learning;Education;Student;Smart Tablets,"This scheme was launched with objective of promoting digital education & providing online learning to children from poor & needy families, proving to be a boon for them. Under this scheme, free tablets are provided to students, enabling access to state-of-the-art software & learning materials.",,1.0,"e-Adhigam Scheme - Free Tablet. This scheme was launched with objective of promoting digital education & providing online learning to children from poor & needy families, proving to be a boon for them. Under this scheme, free tablets are provided to students, enabling access to state-of-the-art software & learning materials. Category: Education & Learning. Tags: Free Tablet, Digital Learning, Education, Student, Smart Tablets."
sebiitdip,SEBI ITD Internship Program,SEBIITDIP,Central,Individual,Ministry Of Finance,All,Education & Learning,Internship;Student;FinTech;Business;Data Analytics,The SEBI ITD Internship Program provides hands-on training to the students of the institutes based in and around Mumbai. The program accepts up to 15 interns. The Interns accepted under this program would be given an opportunity to work on different Information Technology (IT) projects.,,1.0,"SEBI ITD Internship Program. The SEBI ITD Internship Program provides hands-on training to the students of the institutes based in and around Mumbai. The program accepts up to 15 interns. The Interns accepted under this program would be given an opportunity to work on different Information Technology (IT) projects. Category: Education & Learning. Tags: Internship, Student, FinTech, Business, Data Analytics."
